SK_ID_CURR,TARGET,kmeans_cluster,hdbscan_cluster,gaussian_mixture_cluster
384575,0,0,6,1
214010,0,1,-1,3
142232,0,0,6,2
389171,0,0,6,0
283617,0,1,-1,2
362171,0,0,6,1
180689,0,0,6,1
310328,0,0,6,1
233043,0,1,-1,2
232220,0,1,6,2
134561,1,0,6,1
120952,1,0,6,1
188909,0,1,-1,4
347275,0,0,6,1
250804,0,0,6,1
348749,0,0,6,1
231383,0,1,-1,4
119647,0,0,6,0
257374,0,0,6,0
305211,0,1,-1,3
153812,0,0,6,2
149325,0,0,6,2
404667,0,0,6,1
114238,0,0,6,0
373414,1,1,-1,2
188388,0,1,-1,2
231929,1,0,6,0
288831,0,1,-1,3
111556,0,0,-1,1
199643,0,0,6,1
120657,0,0,6,0
439579,0,0,6,0
361223,0,1,-1,3
345983,0,1,-1,3
284103,0,1,6,2
280677,0,0,6,1
378518,0,1,6,2
425522,0,1,6,2
390314,0,0,6,1
160738,0,1,-1,2
389904,1,0,6,1
123258,0,0,6,1
152796,0,0,6,0
134391,0,0,6,0
349402,0,0,6,1
196937,0,0,6,1
292484,0,0,6,1
160044,0,0,6,1
138523,0,1,-1,2
209865,0,0,6,0
297401,0,1,-1,2
155773,0,1,-1,3
387025,0,1,-1,3
337101,0,0,-1,1
322386,0,0,-1,4
338300,0,1,-1,4
379443,0,0,6,1
129426,1,0,6,1
277039,0,1,-1,3
450086,0,0,6,1
276602,0,0,6,1
138400,0,1,-1,3
211463,0,0,6,1
114666,0,0,6,2
124477,0,1,-1,3
165205,0,1,-1,3
343760,0,0,6,2
140623,0,0,6,0
143311,0,0,6,1
185989,0,0,6,0
298045,0,0,6,2
112205,0,0,6,2
189803,1,0,6,1
342139,0,1,-1,3
213028,0,0,3,4
357624,0,0,6,1
422659,0,0,-1,2
334791,0,0,6,0
430775,0,0,-1,2
266456,0,1,6,2
112836,0,0,6,2
430776,0,0,6,0
401108,0,1,-1,3
266876,1,0,6,1
193089,0,0,6,2
125751,0,1,6,2
182248,0,0,6,0
333675,1,1,-1,2
102143,0,1,-1,3
291986,0,0,6,1
138839,1,0,6,1
148136,0,1,6,2
378496,0,0,6,1
139605,1,0,6,1
233353,1,0,6,1
110397,0,0,6,0
426103,0,1,6,2
122624,0,0,6,0
296180,0,0,6,2
312439,0,0,6,1
421750,0,1,-1,2
308303,0,0,6,1
268606,0,0,-1,2
257626,0,0,6,1
247821,0,1,6,2
140578,0,0,6,1
372540,0,0,6,1
317071,0,0,6,1
200090,0,0,6,1
101538,1,1,6,2
368698,1,0,6,0
333727,0,1,-1,3
191974,0,0,6,1
226743,0,0,6,1
446285,1,0,6,0
184126,0,0,6,1
349136,0,1,-1,4
153624,0,0,-1,4
444775,0,0,6,1
288359,0,0,6,2
123690,0,0,6,0
125862,0,0,-1,2
229764,0,1,-1,4
239257,0,1,-1,3
196864,1,1,-1,3
291527,0,1,-1,3
418766,0,0,6,1
224552,0,1,-1,2
218033,0,1,6,2
225127,0,1,-1,3
101475,0,0,6,1
382719,0,1,6,2
261216,0,1,4,3
276251,0,1,-1,3
204529,0,0,6,1
429650,0,1,6,2
190921,0,0,6,1
140713,1,0,6,1
408331,0,0,6,1
411110,0,0,6,1
210031,0,0,6,1
140773,0,1,6,2
237795,0,0,6,1
172135,1,0,6,2
315209,0,0,6,1
455672,0,0,6,1
175338,0,0,6,0
273362,0,0,6,1
167812,0,0,6,0
258972,0,0,6,1
192884,0,0,6,2
314671,0,0,6,1
270323,0,0,6,1
124985,0,0,6,0
156777,0,0,6,2
220689,0,0,6,2
395779,0,0,6,2
393898,0,0,2,4
195467,0,0,6,1
357738,0,0,6,0
282916,0,0,6,0
338163,0,0,6,0
313277,0,1,6,2
371775,0,0,6,2
174926,0,0,6,1
432201,0,0,-1,4
206191,0,0,6,2
401426,0,0,6,1
334956,0,0,6,1
280523,0,1,-1,3
329038,0,0,-1,0
120568,0,0,6,1
246801,0,0,6,0
137460,0,0,6,1
333865,0,1,-1,3
140667,1,0,6,0
409357,0,0,6,1
348592,0,0,6,1
130536,0,0,6,1
205439,0,0,-1,1
256622,0,0,6,0
407720,0,0,-1,2
148478,0,0,6,0
266306,0,0,6,0
263601,0,0,6,2
326579,0,0,6,2
202813,0,0,6,1
187321,1,0,6,2
220830,1,1,-1,3
226606,0,0,6,0
255072,0,0,-1,1
167878,1,0,6,2
147553,1,0,-1,2
195122,0,0,6,0
243791,0,1,-1,2
370195,0,0,6,2
454056,0,0,-1,4
446571,0,0,6,0
314437,0,0,6,1
296876,0,1,-1,2
146778,1,1,-1,2
367670,0,0,6,2
452938,0,0,6,0
171816,1,1,-1,3
133141,0,0,6,1
222426,0,0,6,1
273791,0,0,6,0
152509,0,1,-1,2
199332,0,1,6,2
350742,0,0,6,2
302418,0,0,-1,2
355325,0,1,-1,3
288037,0,1,6,2
434299,0,0,-1,1
392200,1,1,6,2
430310,0,0,6,1
173643,0,0,6,1
399954,0,1,-1,2
121338,0,0,6,0
150410,1,0,6,0
401227,0,0,6,1
266933,0,1,-1,2
417762,0,0,6,1
241069,0,0,6,1
430331,0,0,6,0
370492,0,0,6,1
342191,0,0,6,2
191077,0,0,-1,1
257028,0,0,6,2
442554,0,0,6,1
249204,0,1,-1,3
315600,0,0,6,1
228436,0,0,6,1
262125,0,0,-1,2
431255,0,0,6,1
400865,0,0,6,0
418409,0,0,-1,4
438901,0,0,6,1
348281,0,1,-1,2
452997,0,0,6,1
438186,0,0,-1,2
274833,0,0,6,2
260704,0,0,6,0
262510,0,0,6,1
451245,0,0,6,0
338185,0,1,-1,3
134452,0,1,6,2
443108,0,1,-1,2
264139,0,1,7,2
350181,1,1,-1,2
270484,0,1,-1,3
100329,0,0,-1,4
453634,0,1,-1,2
423361,0,0,6,1
273124,0,1,-1,4
203085,0,1,-1,4
168301,0,0,6,0
192323,1,1,6,2
321816,0,0,-1,2
366736,0,0,6,1
341508,0,0,6,2
182779,0,0,6,2
235859,0,1,-1,3
411941,0,0,6,0
291123,0,0,6,1
191687,0,1,-1,2
367825,0,0,-1,4
262467,0,1,-1,2
197249,0,0,6,1
324798,0,0,6,1
285945,0,0,6,1
313516,0,0,6,1
331047,1,0,6,1
138242,1,0,6,1
396747,0,0,6,0
273269,0,0,6,1
163722,0,0,6,0
213381,0,0,6,2
405878,0,1,-1,3
253345,1,0,6,1
247637,0,1,-1,3
452481,0,0,-1,4
346788,0,0,6,0
382657,0,0,6,1
304547,0,0,6,1
283496,0,0,6,1
277482,0,0,6,0
102992,0,0,6,1
401303,0,0,6,0
354514,0,0,6,0
191126,1,0,6,1
217769,0,1,-1,3
178120,0,1,-1,3
359900,0,1,6,2
305975,0,0,6,1
223055,0,0,6,1
407064,0,0,6,0
249017,0,0,6,1
137905,0,1,6,2
304908,0,0,6,0
435754,0,0,6,2
128839,0,1,6,2
169277,0,0,6,1
434304,0,0,6,1
454661,0,0,6,1
150440,0,1,-1,3
193333,0,0,6,1
325265,0,1,-1,3
230384,0,0,-1,0
353699,1,0,6,1
128086,0,1,-1,4
121056,0,0,6,1
254570,1,0,6,1
204560,0,0,6,0
101007,0,0,6,0
269453,0,0,-1,1
410506,0,0,6,2
452392,0,0,-1,1
256839,0,1,-1,3
126558,0,0,2,4
164275,1,0,6,1
361519,1,1,-1,3
315978,0,0,6,1
402549,0,0,6,1
296755,0,0,6,0
141452,0,0,6,0
116528,0,0,6,1
433386,0,0,6,1
266615,0,0,6,2
418819,0,0,6,0
169951,0,0,-1,1
288905,0,1,-1,3
147055,0,0,6,1
347993,0,0,6,1
455873,0,0,6,1
405618,0,0,6,0
276684,0,0,6,1
175236,0,0,6,1
276204,0,0,6,2
119421,0,0,6,2
370624,0,0,-1,2
371832,1,0,6,2
353062,0,0,6,1
225513,0,0,6,1
164120,0,0,6,0
131732,0,1,-1,2
180113,0,0,6,0
244059,0,1,-1,3
434699,0,0,6,1
296414,0,0,6,1
400162,1,0,6,0
290796,0,0,6,0
384012,0,0,6,1
418291,0,0,6,0
328789,0,0,6,2
265625,1,0,6,1
175941,0,1,-1,2
397073,0,0,6,1
115390,0,0,6,1
112892,1,0,6,0
412085,0,0,6,0
142450,0,0,6,0
294030,0,1,-1,2
208190,0,0,6,0
185248,0,0,6,1
178863,0,0,6,1
359441,0,0,6,1
325348,0,0,-1,4
416662,0,1,6,2
449111,0,0,6,1
219687,0,0,6,2
192278,0,0,6,1
256670,0,0,6,1
150435,0,0,-1,1
154042,0,0,6,2
106555,0,0,-1,2
444606,0,1,-1,3
433307,0,0,6,1
346317,0,0,6,0
121678,0,0,6,1
341483,1,0,6,1
321946,0,1,6,2
387911,0,0,-1,2
376987,0,0,-1,2
141706,0,0,6,1
379826,0,0,-1,2
357396,0,1,-1,4
120818,0,1,-1,3
381814,0,0,-1,4
332066,0,0,6,1
193593,0,0,6,0
240370,0,0,6,2
321432,0,1,-1,3
317021,1,0,6,2
292948,0,1,-1,3
350696,0,1,-1,2
391955,0,1,6,2
139238,0,0,-1,4
344619,0,0,6,1
443180,0,0,6,1
373763,0,0,6,1
246593,0,0,6,0
454065,1,1,6,2
236548,0,1,-1,2
117311,0,0,6,1
350520,0,0,-1,2
356710,0,0,6,0
361731,0,0,6,1
208243,0,0,6,1
434005,0,0,6,0
206152,1,0,6,0
452290,0,0,6,1
357691,0,0,6,0
146120,0,0,6,1
225154,0,1,6,2
285629,1,0,6,0
281935,0,0,-1,4
151944,0,0,6,0
112869,0,1,-1,2
402511,0,0,6,1
408372,1,0,6,1
444286,0,0,6,1
135550,0,0,6,2
318843,0,1,-1,4
402347,0,0,-1,4
229138,1,0,6,0
151251,0,1,-1,3
