rank,feature,importance_gain,importance_split
1,EXT_SOURCE_2,2042.892224818468,406
2,EXT_SOURCE_3,1531.4481671899557,319
3,EXT_SOURCE_1,634.3887059688568,282
4,CREDIT_ANNUITY_RATIO,381.3930686712265,292
5,DAYS_EMPLOYED,338.35905435681343,181
6,DAYS_BIRTH,280.5986057817936,227
7,INST_AMT_PAYMENT_min,189.36189195513725,174
8,NAME_EDUCATION_TYPE,177.70550575852394,85
9,DAYS_LAST_PHONE_CHANGE,164.84965701401234,149
10,AMT_ANNUITY,164.0662161409855,159
11,DAYS_EMPLOYED_PCT,157.05686751008034,140
12,CODE_GENDER,148.2413312792778,93
13,BUREAU_AMT_CREDIT_SUM_DEBT_mean,135.90654009580612,83
14,OWN_CAR_AGE,125.85092598199844,92
15,POS_CNT_INSTALMENT_FUTURE_mean,125.8315766453743,111
16,CREDIT_INCOME_RATIO,124.08229893445969,111
17,ANNUITY_INCOME_RATIO,119.11308309435844,124
18,PREV_HOUR_APPR_PROCESS_START_mean,115.24011012911797,105
19,AMT_CREDIT,114.21661646664143,107
20,INST_DAYS_INSTALMENT_std,106.25093096494675,71
21,BUREAU_DAYS_CREDIT_ENDDATE_sum,105.43357214331627,83
22,PREV_CAT_NAME_CONTRACT_STATUS_REFUSED_SHARE,103.08374318480492,56
23,PREV_CNT_PAYMENT_mean,101.41023343801498,86
24,AMT_GOODS_PRICE,100.45967558026314,88
25,DAYS_ID_PUBLISH,98.20397741347551,111
26,PREV_CNT_PAYMENT_std,93.96747022867203,73
27,POS_SK_DPD_DEF_mean,91.53984171152115,63
28,BUREAU_DAYS_CREDIT_ENDDATE_mean,90.55866274237633,68
29,PREV_SELLERPLACE_AREA_mean,89.69711203873158,78
30,BUREAU_DAYS_CREDIT_std,84.98391002416611,87
31,BUREAU_AMT_CREDIT_SUM_max,83.5022332072258,71
32,POS_CNT_INSTALMENT_FUTURE_std,83.37101671099663,79
33,PREV_HOUR_APPR_PROCESS_START_std,83.21820017695427,85
34,BUREAU_AMT_CREDIT_SUM_sum,83.21048727631569,75
35,POS_CNT_INSTALMENT_std,81.42213398218155,62
36,BUREAU_DAYS_CREDIT_max,80.7630118727684,94
37,BUREAU_AMT_CREDIT_SUM_DEBT_std,78.11565592885017,66
38,PREV_HOUR_APPR_PROCESS_START_min,77.17051872611046,64
39,PREV_RATE_DOWN_PAYMENT_mean,74.51078510284424,73
40,PREV_SELLERPLACE_AREA_sum,74.05333322286606,70
41,NAME_INCOME_TYPE,72.87004217505455,54
42,BUREAU_AMT_CREDIT_SUM_std,72.8238617181778,71
43,POS_MONTHS_BALANCE_std,71.90138810873032,60
44,PREV_DAYS_DECISION_max,71.5812823176384,72
45,BUREAU_DAYS_CREDIT_UPDATE_min,71.01726034283638,58
46,BUREAU_AMT_CREDIT_SUM_mean,70.95209057629108,63
47,CC_CNT_DRAWINGS_ATM_CURRENT_std,70.37928605079651,55
48,BUREAU_DAYS_CREDIT_ENDDATE_max,70.22388598322868,73
49,BUREAU_AMT_CREDIT_MAX_OVERDUE_mean,70.17046332359314,59
50,BUREAU_AMT_CREDIT_SUM_min,69.81975290179253,75
51,INST_AMT_PAYMENT_sum,69.58931306004524,62
52,INST_NUM_INSTALMENT_VERSION_mean,68.92728939652443,65
53,INST_DAYS_ENTRY_PAYMENT_std,65.0993817448616,43
54,REGION_POPULATION_RELATIVE,64.77026692032814,76
55,INST_AMT_INSTALMENT_std,63.3504438996315,59
56,PREV_AMT_ANNUITY_min,62.83816993236542,60
57,PREV_DAYS_DECISION_std,62.601353257894516,61
58,BUREAU_DAYS_CREDIT_mean,60.543376952409744,60
59,DAYS_REGISTRATION,59.87147502601147,73
60,BUREAU_DAYS_CREDIT_ENDDATE_std,58.6994451880455,71
61,PREV_CAT_NAME_YIELD_GROUP_HIGH_SHARE,58.04804785549641,47
62,PREV_CAT_NAME_YIELD_GROUP_LOW_ACTION_SHARE,57.794069826602936,56
63,BUREAU_DAYS_CREDIT_UPDATE_max,56.50930404663086,62
64,PREV_RATE_DOWN_PAYMENT_max,56.42937558889389,47
65,INST_NUM_INSTALMENT_VERSION_std,56.369396924972534,63
66,INST_AMT_PAYMENT_max,54.96469509601593,49
67,PREV_SELLERPLACE_AREA_max,54.79038491845131,53
68,PREV_CAT_CODE_REJECT_REASON_XAP_SHARE,54.78418782353401,44
69,INST_AMT_INSTALMENT_max,54.447419226169586,52
70,BUREAU_DAYS_ENDDATE_FACT_std,53.85907691717148,58
71,OCCUPATION_TYPE,53.78847387433052,56
72,ORGANIZATION_TYPE,53.74535498023033,57
73,INST_AMT_PAYMENT_mean,51.881898045539856,48
74,CC_CNT_DRAWINGS_CURRENT_std,50.689800918102264,34
75,POS_CAT_NAME_CONTRACT_STATUS_ACTIVE_SHARE,50.61325380206108,56
76,PREV_AMT_ANNUITY_std,49.584388077259064,63
77,PREV_HOUR_APPR_PROCESS_START_max,49.38104575872421,50
78,POS_MONTHS_BALANCE_mean,48.87740087509155,50
79,PREV_DAYS_FIRST_DUE_sum,48.21013197302818,52
80,PREV_AMT_DOWN_PAYMENT_max,47.52618631720543,47
81,PREV_RATE_DOWN_PAYMENT_sum,47.48179194331169,46
82,PREV_CAT_NAME_YIELD_GROUP_LOW_NORMAL_SHARE,47.46402032673359,50
83,INST_AMT_PAYMENT_std,47.16052605211735,61
84,PREV_CNT_PAYMENT_sum,47.08544686436653,40
85,FLAG_DOCUMENT_3,45.9093211889267,33
86,INST_DAYS_ENTRY_PAYMENT_max,45.725459069013596,53
87,BUREAU_DAYS_ENDDATE_FACT_max,45.161245465278625,50
88,PREV_DAYS_FIRST_DUE_max,44.99858599901199,43
89,PREV_RATE_DOWN_PAYMENT_std,44.73208871483803,45
90,BUREAU_DAYS_CREDIT_UPDATE_mean,44.72126004099846,43
91,PREV_AMT_GOODS_PRICE_min,44.08786228299141,52
92,PREV_DAYS_DECISION_mean,43.98686283826828,44
93,BUREAU_DAYS_CREDIT_sum,42.370262801647186,43
94,PREV_DAYS_LAST_DUE_std,41.78286302089691,41
95,PREV_CAT_WEEKDAY_APPR_PROCESS_START_SATURDAY_SHARE,41.744546204805374,44
96,BUREAU_DAYS_CREDIT_min,41.73036304116249,47
