component,explained_variance_ratio,cumulative_explained_variance,information_lost,distance_to_90pct
1,0.08964514,0.08964514,0.91035485,0.8103548
2,0.0548316,0.14447674,0.8555232,0.7555232
3,0.044621848,0.1890986,0.8109014,0.7109014
4,0.040911462,0.23001006,0.76998997,0.66998994
5,0.02713684,0.2571469,0.7428531,0.6428531
6,0.027033534,0.28418043,0.7158196,0.6158196
7,0.020425988,0.3046064,0.69539356,0.59539354
8,0.019344918,0.32395133,0.67604864,0.5760486
9,0.01617922,0.34013057,0.65986943,0.5598694
10,0.015343245,0.35547382,0.6445262,0.54452616
11,0.014387071,0.3698609,0.6301391,0.5301391
12,0.013407146,0.38326803,0.616732,0.516732
13,0.013058582,0.3963266,0.6036734,0.5036734
14,0.012409722,0.40873632,0.59126365,0.49126366
15,0.011852557,0.42058888,0.57941115,0.4794111
16,0.011663583,0.43225247,0.56774753,0.4677475
17,0.011222264,0.44347474,0.55652523,0.45652524
18,0.010765184,0.45423993,0.54576004,0.44576004
19,0.010650145,0.4648901,0.5351099,0.43510988
20,0.009725729,0.4746158,0.5253842,0.42538416
21,0.009476267,0.4840921,0.5159079,0.4159079
22,0.009171624,0.49326372,0.5067363,0.40673625
23,0.008672402,0.50193614,0.49806386,0.39806384
24,0.008630805,0.51056695,0.48943305,0.38943303
25,0.008544226,0.51911116,0.48088884,0.38088882
26,0.008425079,0.5275362,0.4724638,0.37246376
27,0.008326457,0.5358627,0.46413732,0.3641373
28,0.008220651,0.54408336,0.45591664,0.35591662
29,0.008157231,0.5522406,0.4477594,0.34775937
30,0.008096772,0.56033736,0.43966264,0.3396626
31,0.007978754,0.5683161,0.4316839,0.33168387
32,0.007749622,0.5760657,0.42393428,0.32393426
33,0.0076408703,0.5837066,0.41629338,0.31629336
34,0.0074368,0.5911434,0.40885657,0.30885655
35,0.0073667644,0.5985102,0.4014898,0.30148977
36,0.0069610314,0.60547125,0.39452875,0.29452872
37,0.0067250817,0.6121963,0.38780367,0.28780365
38,0.006684804,0.6188811,0.3811189,0.28111887
39,0.0065719713,0.62545305,0.37454695,0.27454692
40,0.0063136406,0.6317667,0.36823332,0.2682333
41,0.0061021005,0.63786876,0.36213124,0.2621312
42,0.0060438216,0.64391255,0.35608745,0.25608742
43,0.0058792834,0.64979184,0.35020816,0.25020814
44,0.005830511,0.65562236,0.34437764,0.24437761
45,0.0057798782,0.6614022,0.33859777,0.23859775
46,0.005670831,0.6670731,0.33292693,0.2329269
47,0.0055258605,0.67259896,0.32740104,0.22740102
48,0.005475543,0.6780745,0.32192552,0.2219255
49,0.0052482365,0.6833227,0.31667727,0.21667725
50,0.005160728,0.6884835,0.31151652,0.2115165
51,0.005066961,0.69355047,0.30644953,0.20644951
52,0.0048755086,0.69842595,0.30157405,0.20157403
53,0.0047599506,0.7031859,0.29681408,0.19681406
54,0.004703585,0.7078895,0.2921105,0.19211048
55,0.0046107145,0.7125002,0.2874998,0.18749976
56,0.004539238,0.71703947,0.28296053,0.18296051
