rank,feature,importance_gain,importance_split
1,EXT_SOURCE_2,1999.1549750566483,411
2,EXT_SOURCE_3,1616.4423701167107,363
3,EXT_SOURCE_1,662.9681970477104,329
4,CREDIT_ANNUITY_RATIO,409.31497743725777,321
5,DAYS_EMPLOYED,329.3064404428005,189
6,DAYS_BIRTH,318.0749882757664,251
7,INST_AMT_PAYMENT_min,198.3036453127861,171
8,DAYS_LAST_PHONE_CHANGE,192.08638161420822,178
9,NAME_EDUCATION_TYPE,187.195288926363,92
10,AMT_ANNUITY,186.72037008404732,180
11,AMT_CREDIT,155.8772166967392,138
12,DAYS_EMPLOYED_PCT,150.89696550369263,137
13,ANNUITY_INCOME_RATIO,147.60510498285294,153
14,BUREAU_AMT_CREDIT_SUM_DEBT_mean,143.3845011293888,109
15,PREV_HOUR_APPR_PROCESS_START_mean,141.82462364435196,136
16,AMT_GOODS_PRICE,141.69644737243652,132
17,CODE_GENDER,140.54556196928024,89
18,CREDIT_INCOME_RATIO,128.48831403255463,120
19,BUREAU_DAYS_CREDIT_ENDDATE_sum,126.37224698066711,116
20,DAYS_ID_PUBLISH,121.96815663576126,137
21,INST_DAYS_INSTALMENT_std,120.53176799416542,63
22,POS_CNT_INSTALMENT_FUTURE_mean,120.48732602596283,109
23,OWN_CAR_AGE,119.64294016361237,81
24,PREV_CNT_PAYMENT_mean,117.80182328820229,106
25,BUREAU_DAYS_CREDIT_ENDDATE_mean,110.40574884414673,93
26,PREV_CNT_PAYMENT_std,107.7372909784317,94
27,PREV_SELLERPLACE_AREA_mean,107.59977120161057,102
28,POS_CNT_INSTALMENT_FUTURE_std,103.22643435001373,91
29,POS_MONTHS_BALANCE_std,100.32788401842117,87
30,PREV_HOUR_APPR_PROCESS_START_std,99.06241524219513,121
31,BUREAU_AMT_CREDIT_SUM_max,98.12312802672386,93
32,BUREAU_AMT_CREDIT_SUM_std,96.20733562111855,101
33,BUREAU_AMT_CREDIT_SUM_DEBT_std,96.1259645819664,82
34,POS_SK_DPD_DEF_mean,94.23989844322205,69
35,BUREAU_DAYS_CREDIT_ENDDATE_std,94.08989816904068,116
36,BUREAU_DAYS_CREDIT_ENDDATE_max,93.3035036623478,90
37,BUREAU_DAYS_CREDIT_max,93.05522844195366,106
38,BUREAU_DAYS_CREDIT_std,92.71459802985191,97
39,BUREAU_AMT_CREDIT_SUM_min,92.14801707863808,106
40,PREV_DAYS_DECISION_max,90.90060016512871,103
41,INST_AMT_PAYMENT_sum,90.65874037146568,80
42,BUREAU_AMT_CREDIT_SUM_mean,88.21452447772026,87
43,INST_NUM_INSTALMENT_VERSION_std,87.60435399413109,97
44,PREV_RATE_DOWN_PAYMENT_mean,87.56365312635899,88
45,DAYS_REGISTRATION,84.87851026654243,108
46,PREV_HOUR_APPR_PROCESS_START_min,81.17431777715683,71
47,PREV_DAYS_TERMINATION_std,80.51792085170746,91
48,POS_CNT_INSTALMENT_std,79.07006892561913,74
49,INST_NUM_INSTALMENT_VERSION_mean,78.30049587786198,84
50,PREV_SELLERPLACE_AREA_min,77.9873978793621,83
51,PREV_CNT_PAYMENT_sum,77.79352170228958,67
52,INST_AMT_INSTALMENT_max,75.55312207341194,68
53,BUREAU_AMT_CREDIT_SUM_sum,74.80229610204697,70
54,PREV_SELLERPLACE_AREA_sum,74.78588616847992,73
55,BUREAU_DAYS_ENDDATE_FACT_max,74.29225262999535,82
56,REGION_POPULATION_RELATIVE,72.50804001092911,88
57,NAME_INCOME_TYPE,67.6518702507019,50
58,INST_AMT_INSTALMENT_std,66.87453910708427,64
59,PREV_AMT_ANNUITY_min,66.44518026709557,74
60,INST_AMT_PAYMENT_max,66.21617290377617,62
61,PREV_DAYS_LAST_DUE_std,65.74841409921646,62
62,CC_CNT_DRAWINGS_ATM_CURRENT_std,65.67266568541527,55
63,PREV_DAYS_DECISION_mean,65.19563916325569,58
64,BUREAU_DAYS_CREDIT_mean,64.38008508086205,58
65,PREV_RATE_DOWN_PAYMENT_std,64.19636517763138,72
66,BUREAU_DAYS_CREDIT_UPDATE_std,63.36003574728966,61
67,PREV_DAYS_DECISION_std,62.96022006869316,63
68,ORGANIZATION_TYPE,62.47850099205971,65
69,BUREAU_AMT_CREDIT_SUM_DEBT_sum,61.69711923599243,67
70,BUREAU_AMT_CREDIT_MAX_OVERDUE_mean,61.22627708315849,61
71,OCCUPATION_TYPE,60.91804513335228,71
72,POS_CNT_INSTALMENT_mean,60.773687332868576,64
73,BUREAU_DAYS_CREDIT_UPDATE_max,59.82821989059448,68
74,PREV_AMT_ANNUITY_std,59.216085851192474,79
75,BUREAU_DAYS_CREDIT_min,57.79958516359329,62
76,BUREAU_DAYS_CREDIT_UPDATE_sum,57.651455730199814,58
77,CC_CNT_DRAWINGS_ATM_CURRENT_mean,56.71423656120896,39
78,INST_NUM_INSTALMENT_NUMBER_std,55.97232913970947,61
79,INST_AMT_PAYMENT_mean,55.80112326145172,60
80,BUREAU_DAYS_CREDIT_UPDATE_mean,55.54449826478958,47
81,PREV_SELLERPLACE_AREA_max,54.570376932621,53
82,INST_AMT_PAYMENT_std,53.42461612820625,51
83,INST_DAYS_ENTRY_PAYMENT_std,52.898745000362396,42
84,PREV_AMT_GOODS_PRICE_min,51.962083756923676,67
85,BUREAU_DAYS_CREDIT_UPDATE_min,51.7925720512867,45
86,BUREAU_DAYS_CREDIT_sum,51.400690257549286,53
87,INST_DAYS_ENTRY_PAYMENT_max,50.90117308497429,59
88,BUREAU_DAYS_CREDIT_ENDDATE_min,50.87173688411713,64
89,PREV_RATE_DOWN_PAYMENT_sum,50.79161420464516,53
90,INST_AMT_INSTALMENT_min,50.76869335770607,51
91,CC_CNT_DRAWINGS_CURRENT_std,50.13212549686432,38
92,BUREAU_DAYS_ENDDATE_FACT_std,49.54513907432556,57
93,INST_NUM_INSTALMENT_VERSION_sum,49.158518239855766,63
94,POS_MONTHS_BALANCE_mean,48.55307188630104,46
95,NAME_FAMILY_STATUS,47.960813254117966,56
96,PREV_DAYS_FIRST_DUE_max,47.94767352566123,57
97,INST_AMT_INSTALMENT_mean,47.77580592036247,54
98,BUREAU_DAYS_ENDDATE_FACT_mean,47.47455406188965,47
99,POS_SK_DPD_mean,47.15816682577133,41
100,PREV_AMT_ANNUITY_max,46.6652869284153,49
101,AMT_INCOME_TOTAL,45.84587091207504,52
102,FLAG_DOCUMENT_3,45.74574255943298,31
103,INST_NUM_INSTALMENT_NUMBER_mean,45.48749601840973,53
104,PREV_HOUR_APPR_PROCESS_START_sum,44.73194022476673,52
105,PREV_AMT_CREDIT_mean,44.69827702641487,52
106,INST_NUM_INSTALMENT_NUMBER_sum,44.37876883149147,44
107,PREV_SELLERPLACE_AREA_std,44.252200186252594,52
108,PREV_RATE_DOWN_PAYMENT_max,43.92824932932854,44
109,YEARS_BEGINEXPLUATATION_MEDI,43.66430902481079,40
110,PREV_DAYS_FIRST_DUE_std,43.15545833110809,51
111,BUREAU_AMT_CREDIT_MAX_OVERDUE_sum,42.938154965639114,42
112,PREV_AMT_GOODS_PRICE_std,42.516162276268005,50
113,PREV_DAYS_LAST_DUE_1ST_VERSION_sum,42.43221813440323,43
114,PREV_DAYS_LAST_DUE_mean,42.184920847415924,40
115,INST_AMT_INSTALMENT_sum,41.53267705440521,43
