feature_set,model,train_auc,validation_auc,test_auc,train_rows,valid_rows,test_rows,feature_count,best_iteration
selected_original_features,lightgbm_focal,0.9723858212119799,0.7625716109551843,0.7645791269836117,35000,10000,5000,400,314.0
selected_original_features,random_forest,0.9600442982855683,0.7473808003944893,0.7452071958606272,35000,10000,5000,400,
selected_original_features,xgboost,0.9074693845791528,0.7570376825104111,0.7681741358453492,35000,10000,5000,400,270.0
selected_original_features,logistic_regression,0.7961965723015954,0.7481943670439307,0.7445195726456885,35000,10000,5000,400,
selected_original_plus_clusting,lightgbm_focal,0.9537287395240152,0.760091462076,0.7698133949651481,35000,10000,5000,418,234.0
selected_original_plus_clusting,random_forest,0.9606679980559227,0.7457963584043448,0.7449291169208329,35000,10000,5000,418,
selected_original_plus_clusting,xgboost,0.9165603775273711,0.7577426295009102,0.7663563435540869,35000,10000,5000,418,318.0
selected_original_plus_clusting,logistic_regression,0.7967522042114376,0.7478177108136679,0.7431540643887997,35000,10000,5000,418,
clusting_only,lightgbm_focal,0.6348378857259678,0.5559354766802103,0.5443092281091282,35000,10000,5000,18,30.0
clusting_only,random_forest,0.7624174358588682,0.5457218512626698,0.5486578633582848,35000,10000,5000,18,
clusting_only,xgboost,0.6135651842283292,0.5540508445381132,0.5439318739058081,35000,10000,5000,18,24.0
clusting_only,logistic_regression,0.5601468315001243,0.5474653724174967,0.5192702213162115,35000,10000,5000,18,
